timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
8,0.8,nvfp4,0.2,720,False,native,720,0.980844,0.973727,0.984795,0.011068,0.977068,0.961234,0.987413,0.891671,0.991541,720,0.990329,0.986688,0.992339,0.005651,0.988362,0.980234,0.993667,0.942734,0.995752,0.001003,720,0.000977,720,0.728516,720,117.0,720,,0,0.106219,720
8,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.980806,0.97356,0.98487,0.011309,0.977029,0.96127,0.987413,0.891467,0.991616,720,0.99031,0.986603,0.992377,0.005774,0.988342,0.980253,0.993667,0.94262,0.99579,0.001003,720,0.000929,720,0.734375,720,117.0,720,,0,0.106037,720
8,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.988201,0.982538,0.991659,0.009121,0.985292,0.973742,0.994008,0.885552,0.997449,720,0.994066,0.991192,0.995812,0.00462,0.99256,0.986696,0.996995,0.939303,0.998723,0.001656,720,0.001678,720,0.292969,720,106.5,720,,0,1e-06,720
8,0.9,nvfp4,0.1,720,False,native,720,0.971856,0.96053,0.979774,0.019244,0.967382,0.944053,0.985976,0.808696,0.991622,720,0.985727,0.979868,0.989784,0.009916,0.983318,0.971221,0.992939,0.894231,0.995793,0.001656,720,0.001686,720,0.607422,720,106.5,720,,0,0.106219,720
8,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.971856,0.960205,0.97948,0.019274,0.967339,0.944096,0.985991,0.808573,0.992069,720,0.985727,0.979699,0.989633,0.009935,0.983294,0.971244,0.992946,0.894156,0.996019,0.001656,720,0.001671,720,0.607422,720,107.0,720,,0,0.106037,720
9,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.992218,0.989869,0.99395,0.004082,0.990757,0.984489,0.995157,0.950296,0.9975,720,0.996094,0.994909,0.996966,0.002057,0.995349,0.992184,0.997573,0.974515,0.998748,0.000969,720,0.000984,720,0.371094,720,115.0,720,,0,1e-06,720
9,0.8,nvfp4,0.2,720,False,native,720,0.980546,0.973468,0.984645,0.011177,0.977065,0.960592,0.987345,0.891603,0.991992,720,0.990177,0.986556,0.992263,0.005708,0.988361,0.9799,0.993632,0.942696,0.99598,0.000969,720,0.000992,720,0.730469,720,114.0,720,,0,0.106154,720
9,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.980583,0.973579,0.98472,0.011141,0.977044,0.960446,0.987263,0.89106,0.992143,720,0.990196,0.986613,0.992301,0.005689,0.98835,0.979824,0.993591,0.942392,0.996056,0.000969,720,0.001007,720,0.738281,720,115.5,720,,0,0.10597,720
9,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.98835,0.983129,0.991473,0.008344,0.98544,0.973756,0.994158,0.883951,0.99715,720,0.994141,0.991493,0.995718,0.004226,0.992636,0.986704,0.99707,0.938401,0.998573,0.001633,720,0.001671,720,0.289062,720,106.0,720,,0,1e-06,720
9,0.9,nvfp4,0.1,720,False,native,720,0.972148,0.960205,0.97948,0.019274,0.967412,0.944195,0.985695,0.803183,0.992218,720,0.985877,0.979699,0.989633,0.009935,0.983333,0.971297,0.992796,0.89085,0.996094,0.001633,720,0.001663,720,0.605469,720,106.0,720,,0,0.106154,720
9,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.971856,0.960205,0.979406,0.019201,0.96738,0.944578,0.985384,0.802817,0.992218,720,0.985727,0.979699,0.989596,0.009897,0.983317,0.971499,0.992638,0.890625,0.996094,0.001633,720,0.001678,720,0.613281,720,106.0,720,,0,0.10597,720
10,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.992218,0.989737,0.993894,0.004156,0.990758,0.984414,0.995082,0.950368,0.997273,720,0.996094,0.994842,0.996938,0.002095,0.995351,0.992146,0.997535,0.974552,0.998635,0.000999,720,0.001015,720,0.375,720,115.0,720,0.999964,720,1e-06,720
10,0.8,nvfp4,0.2,720,False,native,720,0.980769,0.973339,0.984571,0.011232,0.977082,0.961175,0.987413,0.894117,0.992444,720,0.990291,0.986489,0.992225,0.005736,0.98837,0.980203,0.993667,0.944099,0.996208,0.000999,720,0.000984,720,0.730469,720,116.0,720,0.999748,720,0.106117,720
10,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.980695,0.973265,0.984496,0.011231,0.977061,0.961095,0.987413,0.893369,0.992218,720,0.990253,0.986451,0.992188,0.005736,0.988359,0.980162,0.993667,0.943682,0.996094,0.000999,720,0.000999,720,0.730469,720,116.0,720,0.999747,720,0.105934,720
10,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.988498,0.983166,0.99192,0.008754,0.98561,0.974181,0.994173,0.900764,0.997749,720,0.994216,0.991511,0.995944,0.004432,0.992724,0.986922,0.997078,0.947791,0.998873,0.001686,720,0.001694,720,0.285156,720,105.0,720,0.999964,720,1e-06,720
10,0.9,nvfp4,0.1,720,False,native,720,0.97244,0.959953,0.979811,0.019858,0.967548,0.945005,0.985976,0.809802,0.992069,720,0.986028,0.979567,0.989802,0.010235,0.983404,0.971725,0.992939,0.894907,0.996019,0.001686,720,0.001743,720,0.601562,720,105.5,720,0.999748,720,0.106117,720
10,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.972367,0.96035,0.979774,0.019424,0.967533,0.945061,0.985828,0.810171,0.992367,720,0.98599,0.979774,0.989784,0.01001,0.983396,0.971755,0.992864,0.895132,0.996169,0.001686,720,0.001709,720,0.603516,720,104.0,720,0.999747,720,0.105934,720
11,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.992368,0.989794,0.993875,0.004081,0.99085,0.98472,0.995157,0.956736,0.997198,720,0.99617,0.994871,0.996928,0.002057,0.995397,0.992301,0.997573,0.97789,0.998597,0.000984,720,0.000992,720,0.371094,720,114.0,720,,0,1e-06,720
11,0.8,nvfp4,0.2,720,False,native,720,0.980583,0.9738,0.984571,0.01077,0.977127,0.961584,0.987278,0.896501,0.991917,720,0.990196,0.986726,0.992225,0.005499,0.988394,0.980416,0.993598,0.945426,0.995942,0.000984,720,0.000992,720,0.730469,720,112.0,720,,0,0.106038,720
